STATE_CODE,cluster,n_workers,avg_wage,pct_female,posting_count,median_adv_salary
AK,0,295,157461.76982001035,0.28749001362846,236,76000.0
AK,1,1330,47800.56975658411,0.4622408268075805,236,76000.0
AK,2,876,57157.70381090207,0.4961093982675811,236,76000.0
AK,3,21,623000.0,0.1206896551724138,236,76000.0
AL,0,1919,146241.33877534547,0.2741371568681859,690,84720.0
AL,1,9997,40848.323212718016,0.4975547506609815,690,84720.0
AL,2,8762,49318.63365404339,0.5127810332086905,690,84720.0
AL,3,330,419000.0,0.1936450839328537,690,84720.0
AR,0,871,150224.53670919174,0.3053960714246805,584,84000.0
AR,1,6401,40130.04315932826,0.48743321959591634,584,84000.0
AR,2,5167,47422.54240228321,0.5131022177431845,584,84000.0
AR,3,163,457000.0,0.22980729807298073,584,84000.0
AZ,0,4055,161326.78082612166,0.3114441784815565,1638,84000.0
AZ,1,14867,43535.56407800599,0.47920990477790215,1638,84000.0
AZ,2,11497,51508.901575777425,0.5114046115179063,1638,84000.0
AZ,3,391,566000.0,0.17552455000532538,1638,84000.0
CA,0,33373,175881.97545162385,0.3832375653710993,7084,95000.0
CA,1,77630,46145.339566410934,0.48755251390604293,7084,95000.0
CA,2,57070,51573.843920244704,0.4964735714401137,7084,95000.0
CA,3,3459,588290.8465226329,0.25857454255489504,7084,95000.0
CO,0,5400,165184.29597675748,0.3365922363853874,1455,85000.0
CO,1,14026,50016.44109852251,0.47718061432323633,1455,85000.0
CO,2,9623,53662.549840668114,0.5138603434222743,1455,85000.0
CO,3,454,612961.2861051256,0.2564462629833184,1455,85000.0
CT,0,3162,170062.07874015748,0.3625231846019248,863,94420.0
CT,1,7176,47154.78694264187,0.5032878888185347,863,94420.0
CT,2,6478,56022.0879777583,0.5425134017164506,863,94420.0
CT,3,482,623911.7691608603,0.24189639503180854,863,94420.0
DC,0,1192,177539.6788684784,0.45165680736556507,1224,93600.0
DC,1,1662,64421.38122372206,0.581594379287453,1224,93600.0
DC,2,571,54644.602325688,0.5037055147227358,1224,93600.0
DC,3,139,585034.3600867679,0.31774403470715834,1224,93600.0
DE,0,577,158372.52586985208,0.3967983887769984,438,90459.0
DE,1,1808,44602.35356897511,0.5260149170728515,438,90459.0
DE,2,1770,52039.97172658677,0.5336662228140258,438,90459.0
DE,3,55,535000.0,0.36075597554196775,438,90459.0
FL,0,10776,164011.31291998652,0.3358626555050812,3645,85000.0
FL,1,39433,41773.614417545985,0.4918697665131718,3645,85000.0
FL,2,38295,48533.69603690736,0.5123154158609472,3645,85000.0
FL,3,1393,570000.0,0.2069468931241075,3645,85000.0
GA,0,6906,165044.45070664128,0.34806906522418324,2658,91520.0
GA,1,22556,42398.24617305616,0.5121806144806551,2658,91520.0
GA,2,19062,51000.577702432965,0.5323937722449944,2658,91520.0
GA,3,667,594000.0,0.23658743333451066,2658,91520.0
HI,0,739,149431.17084307224,0.36503234222971137,263,85000.0
HI,1,3012,45347.809400642436,0.4778874449543619,263,85000.0
HI,2,2878,52933.3806152007,0.5398217542569007,263,85000.0
HI,3,95,496000.0,0.3382438910323863,263,85000.0
IA,0,1067,143689.7860536195,0.3068502707551244,625,84000.0
IA,1,7278,43154.130257224104,0.4899556012677374,625,84000.0
IA,2,6360,50510.69460914462,0.5072777072336317,625,84000.0
IA,3,111,457000.0,0.2329803328290469,625,84000.0
ID,0,899,151067.1172122492,0.2729039070749736,478,89565.0
ID,1,4396,40859.24925255673,0.4691320446403361,478,89565.0
ID,2,3157,49021.35147933025,0.5175697082219081,478,89565.0
ID,3,113,455000.0,0.10507401386155557,478,89565.0
IL,0,8444,166030.8511551023,0.358534144011714,3538,93400.0
IL,1,27299,45545.98386288989,0.5045656782128631,3538,93400.0
IL,2,22723,51489.35949536836,0.5183855586027091,3538,93400.0
IL,3,733,618500.5656588512,0.25654043046638575,3538,93400.0
IN,0,2734,150842.56258792404,0.30302563707752717,956,80370.0
IN,1,15663,42490.93159109172,0.49373780277809665,956,80370.0
IN,2,12901,50689.89952451227,0.5091931567589838,956,80370.0
IN,3,377,484000.0,0.22828253647262747,956,80370.0
KS,0,1266,156628.47098927633,0.31266245295078476,740,78500.0
KS,1,6594,41745.19405164116,0.4900936052558479,740,78500.0
KS,2,5481,50917.87864850737,0.5050368953598159,740,78500.0
KS,3,150,551000.0,0.24766903365236184,740,78500.0
KY,0,1690,146405.8556408279,0.34085484522454373,635,78500.0
KY,1,9670,41496.771973506024,0.48409878868296025,635,78500.0
KY,2,7824,47884.6982086489,0.5023256332749602,635,78500.0
KY,3,270,438000.0,0.23248407643312102,635,78500.0
LA,0,1820,150323.275696393,0.24709939214900312,456,84000.0
LA,1,8625,40119.30392073842,0.5118425196550717,456,84000.0
LA,2,7545,47525.69774533062,0.5393772011986776,456,84000.0
LA,3,272,450000.0,0.22277821430048386,456,84000.0
MA,0,7476,173561.27752424334,0.3743239215300426,2057,87006.0
MA,1,15282,50383.06178484593,0.5131141202863143,2057,87006.0
MA,2,11932,55457.73817300601,0.5483651178309276,2057,87006.0
MA,3,716,597086.2283895942,0.2315716956992422,2057,87006.0
MD,0,6819,163126.475255818,0.4056951493668936,1360,86600.0
MD,1,12513,48416.87376828344,0.512870427031786,1360,86600.0
MD,2,10340,56970.04455215871,0.5356230308485961,1360,86600.0
MD,3,430,624866.1984512876,0.2446125217600096,1360,86600.0
ME,0,561,155093.53174718173,0.3647810589155823,345,79700.0
