fpr,tpr
0.0,0.0
0.0,6.938228947678816e-06
0.0002676048064434016,0.00661907041608559
0.0006200599173688574,0.013141005626903677
0.0009920958677901717,0.019649064379826407
0.001409820443701823,0.026101617301167702
0.0018210180731148547,0.03256804668040436
0.002460658829979571,0.03878469981752458
0.0030415570683567108,0.045070735244121585
0.0036355091997310896,0.05133595598387555
0.004320838582086143,0.057510979747309704
0.004999641017942576,0.06368600351074384
0.005737185972286585,0.06979858321364889
0.006585689017107127,0.07580015125339105
0.007271018399462179,0.08196823678787753
0.008093413658288242,0.08799755774341042
0.008902755024117068,0.09403381692789099
0.009777365854932087,0.10000763205184245
0.01061934195325401,0.10600920009158463
0.011402575533088355,0.11208015042080359
0.012251078577908896,0.11807478023159808
0.013151797194718396,0.12401390421081115
0.014072096651023751,0.12993915173212886
0.014946707481838772,0.13590602862713264
0.015886587777639988,0.1418104614616073
0.01684604891293706,0.14768714138029126
0.017838144780727233,0.1535360683831845
0.018882456220506362,0.15932255132554865
0.019730959265326902,0.16532411936529082
0.020827486277094985,0.1710550964760735
0.02179347435889068,0.17692483816580978
0.022765989387184993,0.18279457985554606
0.023784193040969643,0.18860881571370092
0.024782815855258433,0.19445080448764648
0.025840181188034803,0.20022341097211527
0.026969342932295984,0.20592663516710724
0.027967965746584774,0.21176168571210513
0.029292935885804543,0.21725676303866676
0.030604852132027075,0.22275877859417606
0.031877606699257884,0.22830242352337143
0.03314383431999008,0.23385994491046216
0.03437742720822917,0.2394452192133436
0.03573503207994204,0.24490560539516684
0.03702736748666871,0.25042843563751915
0.03827401426790505,0.2560067717114529
0.03935748738667589,0.261751625280131
0.040643295846903946,0.2672883319803787
0.0418964695746389,0.2728527915964171
0.04318227803486695,0.2783825600677171
0.0444028170301088,0.2839886490574416
0.045740841062325815,0.2894629116971602
0.04720940402451521,0.29480534798687286
0.04865838614720875,0.3001616607344809
0.05001599101892162,0.3056220469163041
0.05158245817859031,0.310853471542854
0.05299227862229213,0.31625835189309576
0.05443473379848705,0.32162160286965147
0.05598162011865989,0.3268738421830444
0.05745018308084929,0.33221627847275703
0.05901665024051798,0.3374477030993069
0.060674494651167345,0.3425889307495369
0.06221485402484156,0.3478481082918774
0.06385964454249368,0.35300321240000276
0.06556970452513201,0.3580819959897037
0.06728629145426895,0.36316077957940457
0.06915299815287414,0.36807304567436117
0.07094790843999452,0.37306163228774225
0.07263838758313698,0.37816816879323384
0.07422443558230153,0.38337877873294063
0.07593449556493985,0.3884645005515892
0.07752707051060302,0.3936681722623483
0.07920449576074826,0.3987885852257353
0.08116910665683273,0.4035967778864767
0.08296401694395311,0.4085923027288054
0.08475892723107349,0.4135808893421865
0.08671048423416074,0.4184029584608233
0.08862940650475488,0.42326665695314614
0.09056138266834626,0.42810954075862595
0.09229755043697907,0.4331675096614838
0.09440575415603318,0.4378230612853763
0.0962463530686439,0.4427700185250713
0.09826317953671734,0.4475227053542313
0.10022779043280182,0.4523378362439204
0.1022250360613794,0.4571113377599234
0.10430060504794042,0.4618015805285543
0.10644797044598625,0.46642244100770835
0.10868671309501277,0.47093922805264726
0.11078186292106963,0.4756155943633828
0.11281827022863894,0.48034746650569976
0.11506353982416406,0.48486425355063867
0.11734144415218228,0.4893394112218915
0.11947575565723088,0.493974148158941
0.12164922884127119,0.49856031749335666
0.12398587568777698,0.5029730311040804
0.12636821115977312,0.507344115341118
0.12873749273877202,0.5117221378071034
0.1310349779062861,0.5161834190204608
0.13335204391329605,0.5206169473180275
0.13564300213431152,0.5250851667603328
0.13806449928529935,0.5294076833947367
0.14029018804132862,0.5339452851265186
0.14279653549679852,0.5381776047846026
0.14509402066431262,0.5426319477690125
0.14765258369177148,0.5468156998244628
0.15003491916376763,0.5511798458325528
0.1526000091377251,0.5553566596590555
0.15504761407470743,0.5596514233776686
0.15770408129964558,0.5637311019989037
0.16026264432710446,0.5679079158254065
0.16274288399657988,0.5721749266282289
0.1651186925220774,0.5765460108652666
0.16769683638903213,0.5807020100049262
0.17021623773749928,0.5849273914340626
0.17268342351397745,0.5892013404658327
0.17517671707645013,0.5934544748107599
0.17771569926441314,0.5976521033241055
0.18023510061288028,0.6018774847532419
0.18283935226582948,0.6060057309771107
0.18545665781177592,0.610127038972032
0.18817186755520166,0.6141373353037903
0.1906259994386826,0.6184251607934559
0.1932367780381304,0.6225534070173248
0.19605641892553408,0.6264526916859202
0.1988760598129377,0.6303589145834634
0.2015064192518814,0.6344594078915416
0.2040780361723375,0.6386292834890965
0.20696294652472733,0.6424591858682153
0.20976300657263514,0.6463862234526014
0.21261528219253187,0.6502508169764586
0.2154936655984231,0.654087657584525
0.2183002525928295,0.6580077569399635
0.22126348630320278,0.6617544005717101
0.22432462421105534,0.6654039089981891
0.22732701960042034,0.6691089232562496
0.23037510361527566,0.672772308140624
0.233423187630131,0.6764287547960508
0.23643210996599462,0.6801337690541113
0.23949324787384718,0.6837763392516426
0.2424434276912232,0.6875368593412845
0.2455437272780675,0.6911447383940775
0.24837642205846838,0.6950301466047777
0.25149630248480853,0.6986172109707276
0.2547597757341183,0.7020446960708809
0.2578339675349681,0.7056803280394647
0.2610256443727931,0.7091841336580424
0.264132470906136,0.7127850744818878
0.2671479201884982,0.7164762122820529
0.27040486649130935,0.7199106356111539
0.27364223195462467,0.7233728118560456
0.27687959741793994,0.7268280498719897
0.2800647473092663,0.7303457319484629
0.2834195978095568,0.7336760818433486
0.28662432854037895,0.7371729492329788
0.289900855682686,0.7405865578752368
0.293314448701464,0.7438614019385412
0.29663013752276274,0.747233381207113
0.299867502986078,0.7506886192230571
0.30324846127236293,0.7539981544311
0.30665552734464235,0.7572729984944043
0.3102453479188831,0.7603605103761214
0.3137437912421432,0.7635382192341583
0.3172748692978964,0.7666881751764044
0.32070804315617024,0.7699352663239182
0.3241020553354524,0.7732309250740655
0.3275874447657153,0.7764225103899979
0.3311446306074629,0.7795377751875057
0.3348584631651774,0.7824934607192168
0.3386310382413795,0.7853797639614511
0.3423709785850885,0.7883076965773717
0.34587594885484724,0.7914784672064609
0.34956367362656726,0.7944619056539628
0.35342762595375005,0.7972510736909296
0.35720020102995215,0.8001443151621117
0.3610510994641377,0.802947359656974
0.36468008171737015,0.8059863039360573
0.36840696816808194,0.8089281130098731
0.37215343545828955,0.8118421691678982
0.37596517221348336,0.8146937812653942
0.37974427423618407,0.8175731462786809
0.38357559183087375,0.8204039436893339
0.38737427469307034,0.8232624940157776
0.39132307732473515,0.8259684033053722
0.39512176018693174,0.8288269536318159
0.3991554131230786,0.8314357277161432
0.4029671498782724,0.8342873398136391
0.4068506830449511,0.837055693163763
0.4108712820881007,0.8396852819349333
0.41488535418475175,0.8423148707061036
0.4190364921578738,0.8448056948983202
0.4228743366990621,0.8476226158510779
0.4268427201702228,0.8503077104538296
0.4308241575343807,0.8529719903697383
0.43488391825652206,0.8555530115382748
0.43883272088818687,0.8582589208278695
0.44306870916579094,0.8606526098148186
0.44700445790445853,0.8633723955623087
0.4511882306100737,0.8658215903808394
0.45531978774369986,0.8683332292598991
0.4594970335028164,0.8707893623073775
0.4635437403319605,0.873391198162757
0.4677536208235701,0.8758126400654969
0.47207445940565623,0.8781161320761263
0.4762582321112714,0.8805722651236045
0.4802657772614238,0.8832087921237225
0.484482184699532,0.8856302340264625
0.4887246999236347,0.8880169847844639
0.49307817323821396,0.8902927238793026
0.4973598501413084,0.892637845263618
0.5017133234558876,0.8949135843584567
0.5060211081449766,0.8972309528269814
0.5103419467270627,0.8995344448376108
0.5147019469881405,0.9018032457035017
0.5190554203027198,0.9040720465693927
0.5235720672797645,0.9061743299405394
0.5278798519688535,0.9084916984090641
0.5324095528388954,0.9105801053223155
0.5369653614949318,0.9126338210908284
0.5414036851139932,0.9148193632093472
0.5458354817865558,0.917004905327866
0.5504826676935729,0.9189614858911115
0.5550906919215983,0.9209666340569906
0.5595029077546652,0.9231729908623525
0.5641762014476768,0.9251087567387548
0.5688233873546938,0.9270653373020002
0.5736011121916834,0.9288900915152398
0.5784506334401577,0.9306315869811072
0.5832218313306485,0.9324632794232944
0.5881431489906077,0.9341284543707373
0.5929208738275973,0.9359462703550292
0.5977181795040826,0.9377502098814257
0.6024567426620804,0.9396096552394035
0.6073062639105548,0.9413580889342187
0.6122014737845194,0.9430510167974523
0.6172663842674482,0.9445704889369939
0.6222529713923936,0.9461662815949601
0.6272656663033334,0.9477412595660831
0.632193510909791,0.9493994962845784
0.6373954872691908,0.9507663273872711
0.6425452480566016,0.952195602550493
0.6475122543420512,0.9538122098953021
0.6526750690224592,0.9552276086006286
0.6578378837028673,0.9566360690770074
0.6630594409017629,0.9579890237218047
0.6682548903146641,0.9593627930534452
0.6735090822460529,0.9606810565535041
0.6789460286794029,0.9617981114140804
0.6840892625203151,0.9632273865773022
0.6892586041472218,0.9646358470536811
0.6944671074531202,0.9659957399274262
